# YIELD POINT COVERAGE
TOTAL	COVERED	%
85	85	100.0
# YIELD POINTS
COVERED	SOURCE FILE	LINE	SIGNATURE
Y	RaceDetection.java	45	field-set(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	57	field-set(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	69	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	69	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	69	field-set(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	69	org.cooperari.CSystem.forkAndJoin(Runnable[])
Y	RaceDetection.java	70	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	70	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	79	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	79	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	79	field-set(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	79	org.cooperari.CSystem.forkAndJoin(Runnable[])
Y	RaceDetection.java	80	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	80	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	90	org.cooperari.CSystem.forkAndJoin(Runnable[])
Y	RaceDetection.java	91	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	91	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	91	field-set(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	92	<monitorenter>
Y	RaceDetection.java	92	<monitorexit>
Y	RaceDetection.java	92	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	92	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	92	field-set(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	93	<monitorenter>
Y	RaceDetection.java	93	<monitorexit>
Y	RaceDetection.java	93	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	93	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	93	field-set(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	94	<monitorenter>
Y	RaceDetection.java	94	<monitorexit>
Y	RaceDetection.java	94	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	94	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	94	field-set(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	96	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	96	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	105	org.cooperari.CSystem.forkAndJoin(Runnable[])
Y	RaceDetection.java	108	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	108	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	109	<monitorenter>
Y	RaceDetection.java	109	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	110	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	110	field-set(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	111	<monitorexit>
Y	RaceDetection.java	113	<monitorenter>
Y	RaceDetection.java	113	<monitorexit>
Y	RaceDetection.java	113	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	113	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	113	field-set(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	114	<monitorenter>
Y	RaceDetection.java	114	<monitorexit>
Y	RaceDetection.java	114	field-get(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	114	field-get(org.cooperari.examples.RaceDetection.data)
Y	RaceDetection.java	114	field-set(org.cooperari.examples.RaceDetection.SharedData.value)
Y	RaceDetection.java	115	<monitorenter>
